scale,year,count
ASSIST,2003,0
ASSIST,2004,1
ASSIST,2005,1
ASSIST,2006,0
ASSIST,2007,0
ASSIST,2008,3
ASSIST,2009,4
ASSIST,2010,2
ASSIST,2011,5
ASSIST,2012,12
ASSIST,2013,10
ASSIST,2014,29
ASSIST,2015,29
ASSIST,2016,35
ASSIST,2017,29
ASSIST,2018,26
ASSIST,2019,20
ASSIST,2020,24
ASSIST,2021,33
ASSIST,2022,35
ASSIST,2023,47
ASSIST,2024,37
ASSIST,2025,43
PHQ-15,2000,0
PHQ-15,2001,0
PHQ-15,2002,1
PHQ-15,2003,0
PHQ-15,2004,0
PHQ-15,2005,1
PHQ-15,2006,3
PHQ-15,2007,7
PHQ-15,2008,10
PHQ-15,2009,10
PHQ-15,2010,8
PHQ-15,2011,14
PHQ-15,2012,13
PHQ-15,2013,25
PHQ-15,2014,29
PHQ-15,2015,24
PHQ-15,2016,27
PHQ-15,2017,48
PHQ-15,2018,41
PHQ-15,2019,52
PHQ-15,2020,62
PHQ-15,2021,72
PHQ-15,2022,78
PHQ-15,2023,73
PHQ-15,2024,71
PHQ-15,2025,92
ASI,2000,40
ASI,2001,38
ASI,2002,33
ASI,2003,37
ASI,2004,33
ASI,2005,45
ASI,2006,54
ASI,2007,49
ASI,2008,48
ASI,2009,49
ASI,2010,61
ASI,2011,48
ASI,2012,58
ASI,2013,57
ASI,2014,52
ASI,2015,43
ASI,2016,40
ASI,2017,51
ASI,2018,49
ASI,2019,54
ASI,2020,52
ASI,2021,40
ASI,2022,39
ASI,2023,29
ASI,2024,24
ASI,2025,27
WHO-5,2000,0
WHO-5,2001,5
WHO-5,2002,3
WHO-5,2003,3
WHO-5,2004,5
WHO-5,2005,4
WHO-5,2006,11
WHO-5,2007,16
WHO-5,2008,9
WHO-5,2009,12
WHO-5,2010,21
WHO-5,2011,21
WHO-5,2012,29
WHO-5,2013,33
WHO-5,2014,44
WHO-5,2015,35
WHO-5,2016,34
WHO-5,2017,57
WHO-5,2018,68
WHO-5,2019,72
WHO-5,2020,100
WHO-5,2021,161
WHO-5,2022,237
WHO-5,2023,180
WHO-5,2024,195
WHO-5,2025,283
ACE,2000,0
ACE,2001,0
ACE,2002,0
ACE,2003,0
ACE,2004,0
ACE,2005,0
ACE,2006,0
ACE,2007,0
ACE,2008,0
ACE,2009,0
ACE,2010,2
ACE,2011,1
ACE,2012,0
ACE,2013,0
ACE,2014,0
ACE,2015,0
ACE,2016,1
ACE,2017,5
ACE,2018,6
ACE,2019,6
ACE,2020,9
ACE,2021,14
ACE,2022,17
