scale,dimension,sim_hedonic,sim_eudaimonic,delta
RRS,Foundational claim,0.15203489965870387,0.1283748416757715,0.02366005798293236
RRS,Evaluative criterion,0.2630726384851546,0.22275027005000148,0.04032236843515313
RRS,Time horizon,0.3088196203693323,0.21647983830446282,0.09233978206486948
RRS,Adversity,0.22224161079305516,0.1540093298931351,0.06823228089992006
RRS,Measurement proxies,0.4033027183204325,0.3461099337384892,0.05719278458194332
RRS,Central tension,0.2015434090012871,0.2097197952156582,-0.008176386214371112
AUDIT-C,Foundational claim,0.14557302554528517,0.10276241441136558,0.042810611133919596
AUDIT-C,Evaluative criterion,0.2603584945452926,0.19854650624535009,0.0618119882999425
AUDIT-C,Time horizon,0.29008053524052546,0.155064977415167,0.13501555782535846
AUDIT-C,Adversity,0.1599959578742366,0.09561525933296233,0.06438069854127426
AUDIT-C,Measurement proxies,0.3168145242333029,0.27521499192555954,0.04159953230774338
AUDIT-C,Central tension,0.14499244995815508,0.15308974150263666,-0.008097291544481577
ERQ,Foundational claim,0.14588318795272714,0.11555545222358476,0.03032773572914238
ERQ,Evaluative criterion,0.2729146470825896,0.22093864144272524,0.051976005639864375
ERQ,Time horizon,0.31778075386364457,0.1841769048086459,0.13360384905499867
ERQ,Adversity,0.21570757352176262,0.15181919894384566,0.06388837457791696
ERQ,Measurement proxies,0.43953782236533123,0.36035015058464115,0.07918767178069008
ERQ,Central tension,0.1808716612060437,0.24809565049270854,-0.06722398928666484
AAQ-II,Foundational claim,0.23335964827929923,0.18615921723224016,0.047200431047059066
AAQ-II,Evaluative criterion,0.2998400859222474,0.27745155354047557,0.022388532381771853
AAQ-II,Time horizon,0.31296378808223135,0.2627369251909144,0.05022686289131695
AAQ-II,Adversity,0.33812585948323226,0.24107842897264486,0.0970474305105874
AAQ-II,Measurement proxies,0.40702102130464657,0.42330830523282126,-0.01628728392817469
AAQ-II,Central tension,0.2894023811031581,0.32132746395718104,-0.03192508285402296
WSAS,Foundational claim,0.18258033983801591,0.1527512888687379,0.029829050969278015
WSAS,Evaluative criterion,0.33693215307874347,0.311297269302253,0.02563488377649048
WSAS,Time horizon,0.3287789379252062,0.2716730079823355,0.05710592994287067
WSAS,Adversity,0.23574033524549154,0.18860190016341027,0.047138435082081265
WSAS,Measurement proxies,0.4280696181894459,0.4463130223370896,-0.018243404147643694
WSAS,Central tension,0.2521967198617624,0.20721638312471669,0.04498033673704571
MFQ,Foundational claim,0.10317329346263893,0.0459736715060276,0.057199621956611324
MFQ,Evaluative criterion,0.30215420073269184,0.18103650920192227,0.12111769153076957
MFQ,Time horizon,0.2767768426610453,0.1365183312278554,0.1402585114331899
MFQ,Adversity,0.21901389455903697,0.09454396589709324,0.12446992866194373
MFQ,Measurement proxies,0.45778116796244994,0.32638108220582907,0.13140008575662088
MFQ,Central tension,0.2060039218026395,0.1354446237517718,0.07055929805086769
SPIN,Foundational claim,0.10364625648080183,0.05305266778452189,0.050593588696279945
SPIN,Evaluative criterion,0.2788908095757793,0.19205062305138076,0.08684018652439851
SPIN,Time horizon,0.28225596582100554,0.13505439048409018,0.14720157533691536
SPIN,Adversity,0.2247108113376095,0.1016619388394101,0.1230488724981994
SPIN,Measurement proxies,0.37870481813044043,0.3057561273877092,0.07294869074273125
SPIN,Central tension,0.17533351187649437,0.12927046707366585,0.04606304480282852
PGI,Foundational claim,0.24171223273554743,0.2888083989393594,-0.04709616620381196
PGI,Evaluative criterion,0.3137880788589802,0.39553877721324937,-0.08175069835426918
PGI,Time horizon,0.33826345478233366,0.3455293961800605,-0.0072659413977268494
PGI,Adversity,0.22264311975854412,0.30472205373066097,-0.08207893397211685
