year,Foundational claim,Evaluative criterion,Time horizon,Adversity,Measurement proxies,Central tension,aggregate
1955,-0.0037706647517094113,-0.018236035739389107,-0.007155421709572457,-0.008497669074011392,-0.022455101239356488,-0.0362332262214728,-0.016058019789251945
1956,-0.003938483983430166,-0.017611218820150768,-0.005365571406891895,-0.004540738935541681,-0.022488311900315857,-0.03533236171961479,-0.014879447794324194
1957,-0.003880411545596717,-0.017046021187579235,-0.004872460440473308,-0.004023781351313608,-0.02187183056434894,-0.03495052638097601,-0.014440838578381304
1958,-0.003005038843074613,-0.01781251724027046,-0.005529562531178759,-0.006967656750347688,-0.022077162533954846,-0.0356433735553306,-0.015172551909026161
1959,-0.002630057224590497,-0.016484152861191925,-0.004262057908438196,-0.00415002219374899,-0.021257552936202972,-0.03498570032307588,-0.01396159057454141
1960,-0.0035033605293441263,-0.01738997470533551,-0.007358366350008176,-0.0057289604452944575,-0.022715823530174303,-0.0362577982815666,-0.015492380640287193
1961,-0.002646769792130458,-0.01606688200248742,-0.005058895558153325,-0.00450625208641269,-0.020277415942032438,-0.03443234847200081,-0.013831427308869526
1962,-0.003112843315547918,-0.017422500811932386,-0.0052238303429668455,-0.0061885261073193745,-0.022285880943992545,-0.035781049219486494,-0.01500243845687426
1963,-0.002418563622432489,-0.01660778358022987,-0.004766343376347071,-0.004404190956715752,-0.021496348978759187,-0.03567818384130813,-0.014228569059298748
1964,-0.0018132731841744652,-0.01593724880838782,-0.0022083113543095033,-0.0023232015441247158,-0.021661378059264574,-0.03386931464160103,-0.012968787931977019
1965,-0.0031172920878114753,-0.016123673578590795,-0.006017442275030374,-0.006635030659580696,-0.020028736172453595,-0.03450507686712199,-0.014404541940098154
1966,-0.002390354502160465,-0.01647887593286543,-0.004408997635659518,-0.0033703353696577783,-0.022386526928838982,-0.03527249078395192,-0.01405126352552235
1967,-0.003105126978656805,-0.016926518009627415,-0.004971631403267844,-0.0048102341289994865,-0.021896177393914775,-0.035231118963654794,-0.014490134479686853
1968,-0.002828707968440133,-0.01579715963136075,-0.004505264922685605,-0.004245798773074499,-0.02055707744636147,-0.03485231438153812,-0.013797720520576762
1969,-0.002469162541885669,-0.015414853667916366,-0.0036673887487627486,-0.004205660460714786,-0.020214405453322423,-0.03362177872920547,-0.013265541600301245
1970,-0.0021775876513838582,-0.01454211201881581,-0.004231475460522036,-0.0029904224956178865,-0.02060280953590684,-0.03403008305802292,-0.013095748370044893
1971,-0.003933918205149173,-0.017548097345077226,-0.00809335729444879,-0.006151786292517369,-0.021466043373168424,-0.035910240366067735,-0.015517240479404787
1972,-0.0026490423020936807,-0.015873274857994175,-0.002770411950865107,-0.004125094697522485,-0.020789734184350588,-0.03407100836372224,-0.013379761059424712
1973,-0.0029764988752498268,-0.01573274499940574,-0.005489395412802689,-0.004847441862069458,-0.019603234914301486,-0.0347085702657049,-0.013892981054922348
1974,-0.004738647197291907,-0.019095345342334237,-0.00753683236851105,-0.006148871028462796,-0.022726614466719936,-0.036469405725697,-0.01611928602150282
